product_upc,product_name,product_category,product_description,product_price,profit_ratio,product_rating
574414940629,Homemade Salsa,Food - Condiments,"Fresh salsa made with tomatoes, onions, and cilantro.",20.02,0.7,4.9
574418072861,Sweet Potato Mash,Food - Frozen Foods,"Creamy mashed sweet potatoes, ready to heat and serve.",45.41,0.71,2.2
574436245688,Maple Breakfast Sausage,Food - Meat,Savory sausage links with a hint of maple flavor.,29.08,0.52,2.2
574479307520,Board Game,Toys,Strategic board game for family game nights.,57.24,0.65,3.2
574421798775,Chocolate Hazelnut Spread,Food - Spreads,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",15.1,0.65,3.9
574444397620,Cork Yoga Mat,Fitness,Eco-friendly yoga mat made from sustainable materials.,30.35,0.61,2.6
574460715123,Action Camera,Electronics,Compact action camera for capturing adventures.,19.8,0.76,2
574488776629,Magnetic Spice Jars,Kitchen,Convenient magnetic jars for easy spice storage.,23.46,0.63,4.4
574413072327,Mango Chili Salsa,Food - Condiments,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",22.75,0.58,2.9
574418848329,Coconut Chia Pudding,Food - Dairy,Creamy chia pudding made with coconut milk and topped with mango.,33.48,0.6,2.8
574441977397,DIY Candle Making Kit,Crafts,Everything you need to make your own candles.,25.1,0.74,1.9
574486240019,Strawberry Rhubarb Jam,Food - Condiments,"A sweet and tart jam, perfect on toast or in desserts.",49.66,0.72,3.8
574405947145,Chili Lime Seasoning,Food - Spices,Zesty seasoning great for tacos and grilling.,21.1,0.43,1.2
574411236759,Smart LED Light Strip,Home,"Customizable RGB LED light strip, perfect for mood lighting.",37.69,0.75,2.4
574412010806,Cotton Pajama Set,Clothing - Loungewear,Soft cotton pajama set for cozy nights in.,35.91,0.45,3.5
574437877616,Creamy Spinach Dip,Food - Prepared Foods,"Deliciously creamy spinach dip, perfect for parties.",47.6,0.77,3
574447791484,Whole Grain Mustard,Food - Condiments,Tangy whole grain mustard for sandwiches and dressings.,30.4,0.67,4.3
574463211808,Fitness Resistance Bands,Fitness,Set of resistance bands for home workouts.,33.67,0.49,2.7
574463832528,Thyme,Food - Fresh Produce,"Fresh thyme, perfect for seasoning dishes.",41.01,0.75,1.1
574491379250,Italian Pasta,Food - Grains,"Authentic Italian pasta, perfect for a classic meal.",27.2,0.69,1.3
574401713944,Car Sunshade,Automotive,Windshield sunshade for car interior protection.,50.42,0.71,3.2
574406778568,Pear and Gorgonzola Salad,Food - Salads,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",40.06,0.72,2.7
574410540967,Children's Science Experiment Lab Kit,Toys,STEM-based kit for kids featuring cool science experiments.,54.66,0.45,3
574434828631,Carrot Ginger Soup,Food - Soups,"Smooth soup made from carrots and ginger, great for cold days.",27.91,0.54,2.1
574438453481,Buffalo Wing Sauce,Food - Condiments,Spicy sauce perfect for chicken wings and dipping.,49.19,0.52,4.7
574440875862,Stainless Steel BBQ Grill Set,Outdoor,Essential tools for outdoor barbecues including tongs and spatula.,32.87,0.49,1.7
574447736272,LED Disco Ball Light,Home,Fun light that creates a disco atmosphere for parties.,56.07,0.42,2.8
574447766696,Vegetable Lentil Soup,Food - Canned Goods,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",44.26,0.4,4.9
574463926476,Crispy Rice Treats,Food - Snacks,Classic marshmallow treats made with crispy rice.,58.43,0.69,1.5
574491058128,Portable Speaker Stand,Audio,Adjustable stand for portable speakers and devices.,31,0.53,3.5
574492698849,Interchangeable Watch Bands,Accessories,Set of stylish watch bands to customize your look.,39.1,0.44,3.5
574402712185,DIY Candle Kit,Crafts,Everything you need to make your own scented candles at home.,36.35,0.62,1.7
574407557549,Dual Function Electric Skillet,Kitchen,Skillet that can fry and grill with ease.,21.47,0.51,4.7
574422716529,Hot Salsa,Food - Dips,Spicy salsa made with fresh ingredients.,28.4,0.55,2
574426410602,Natural Fruit Snacks,Food - Snacks,"Healthy fruit snacks, made with real fruit.",40.78,0.67,4.8
574455531242,Dog Walking Waist Pack,Pets,Hands-free waist pack for carrying essentials while walking your dog.,53.52,0.63,4.2
574465679850,Honey BBQ Ribs,Food - Meat,Tender ribs smothered in a honey barbecue sauce.,33.42,0.52,1
574412307019,Hydration Backpack,Outdoor,Lightweight backpack with an insulated water reservoir for hydration on the go.,34.84,0.64,2.6
574469180387,Roasted Red Pepper Hummus,Food - Dips,A creamy and flavorful hummus made with roasted red peppers.,45.97,0.74,4.8
574481577431,Gaming Headset,Gaming,Comfortable gaming headset with surround sound.,30.17,0.47,2.1
574404486681,Chicken Broth,Food - Canned Goods,"Rich and flavorful chicken broth, great for soups.",30.07,0.57,1.6
