age_group,product_name,quantity_ordered
30-49,Homemade Salsa,1
30-49,Sweet Potato Mash,2
30-49,Maple Breakfast Sausage,2
30-49,Board Game,2
50-65,Chocolate Hazelnut Spread,1
50-65,Cork Yoga Mat,2
50-65,Action Camera,3
50-65,Magnetic Spice Jars,4
50-65,Mango Chili Salsa,2
50-65,Homemade Salsa,1
50-65,Coconut Chia Pudding,1
50-65,DIY Candle Making Kit,2
50-65,Strawberry Rhubarb Jam,4
50-65,Chili Lime Seasoning,1
50-65,Smart LED Light Strip,2
50-65,Cotton Pajama Set,1
50-65,Creamy Spinach Dip,3
50-65,Whole Grain Mustard,2
50-65,Fitness Resistance Bands,2
50-65,Thyme,1
50-65,Italian Pasta,2
50-65,DIY Candle Kit,1
50-65,Dual Function Electric Skillet,3
50-65,Hot Salsa,1
50-65,Natural Fruit Snacks,1
50-65,Dog Walking Waist Pack,2
50-65,Honey BBQ Ribs,3
50-65,Hydration Backpack,1
50-65,Roasted Red Pepper Hummus,3
50-65,Gaming Headset,1
18-29,Chicken Broth,2
18-29,Raisin Cinnamon Granola,1
18-29,Organic Whole Wheat Flour,1
18-29,Outdoor Camping Lantern,1
18-29,Board Game,2
18-29,Mediterranean Couscous Salad,1
50-65,Sriracha Chili Sauce,1
50-65,USB Flash Drive,1
50-65,Zucchini Noodles,1
50-65,Raspberry Lemonade Mix,1
50-65,High-Speed Blender,1
50-65,Fruit and Nut Medley,1
50-65,Greek Yogurt,2
50-65,Electric Kettle with Temperature Control,3
30-49,Cherry Almond Protein Bar,2
30-49,Karaoke Microphone,2
30-49,Miso Soup Mix,2
30-49,Portable Jump Starter,1
30-49,Fishing Rod,1
30-49,Chickpea Snack Mix,3
30-49,Dog Walking Waist Pack,1
30-49,Memory Foam Pillow,2
30-49,Electric Kettle with Temperature Control,1
30-49,Raspberry Tart,2
30-49,Wall-Mounted Organizer,1
50-65,Cherry Almond Protein Bar,1
50-65,Sketchbook,1
50-65,Bamboo Memory Foam Pillow,2
50-65,Outdoor Fire Pit,1
50-65,Portable Pet Stroller,3
50-65,Adjustable Pet Grooming Table,2
50-65,Board Game,3
50-65,Pesto Pasta Sauce,1
18-29,Solar Power Bank,3
18-29,Organic Vanilla Bean Ice Cream,2
18-29,Wrap Jumpsuit,3
30-49,Homemade Salsa,1
30-49,Smart LED Desk Lamp,1
30-49,Electric Heat Pad,1
30-49,DIY Candle Making Kit,1
30-49,Portable Solar Phone Charger,3
30-49,Asian Salad Mix,1
30-49,Portable Ice Maker,1
30-49,Frozen Pizza,2
30-49,Customizable Name Puzzle,1
30-49,Board Game,1
30-49,Sesame Noodles,1
30-49,Rolling Cooler,1
18-29,DIY Candle Kit,3
18-29,Sliced Provolone Cheese,1
18-29,Satin Slip Dress,1
18-29,Microfiber Cleaning Cloth Set,1
18-29,Mini Pretzels,1
18-29,Electric Heat Pad,2
18-29,Eco-Friendly Disposable Plates,2
18-29,Bluetooth Tracker,2
18-29,Garlic and Herb Cream Cheese,1
18-29,Smart WiFi Plug,1
18-29,Decorative Wall Tapestry,2
18-29,Portable Ice Maker,2
18-29,Sweet Potatoes,1
18-29,Classic Cheeseburger Mix,1
50-65,Ripped Boyfriend Jeans,4
50-65,Peach Green Tea,2
50-65,Customizable Name Puzzle,2
50-65,Teriyaki Beef Jerky,3
50-65,Cinnamon Roll Protein Bar,2
30-49,Adjustable Pedicure Footrest,4
30-49,Smart LED Light Strip,1
30-49,Chocolate Hazelnut Spread,3
30-49,Tandoori Chicken Skewers,1
30-49,Bamboo Cutting Board,1
30-49,Whole Grain Hamburger Buns,1
30-49,Greek Feta Cheese,2
30-49,Car Phone Mount,1
30-49,Instant Mashed Potatoes,1
30-49,Nutty Quinoa Salad,4
30-49,Spinach Feta Wraps,1
30-49,Cherry Almond Protein Bar,2
30-49,Mini Fondue Set,1
30-49,BBQ Sauce,1
30-49,Outdoor Camping Lantern,4
30-49,Puzzle Game Set,2
50-65,Vegetable Korma,1
50-65,Bamboo Memory Foam Pillow,2
50-65,Window Bird Feeder,3
50-65,Adjustable Dog Harness,1
50-65,Italian Pasta,2
50-65,Creamy Garlic Dressing,1
50-65,Bamboo Cutting Board,3
50-65,Herb-Infused Olive Oil,1
50-65,Kids' Art Supplies Kit,1
50-65,Bluetooth Tracker,4
50-65,Smart WiFi Plug,2
50-65,Dog Walking Waist Pack,2
50-65,Fitness Resistance Bands,1
50-65,Digital Stopwatch Timer,1
50-65,Adjustable Pet Grooming Table,1
50-65,Kale Chips,1
18-29,Portable Solar Path Lights,1
18-29,Self-Cleaning Water Bottle,2
18-29,Homemade Salsa,3
18-29,Rechargeable Laptop Battery Pack,2
18-29,Honey BBQ Ribs,1
18-29,Garam Masala Spice Blend,1
18-29,Vegetable Sushi Rolls,1
18-29,Dark Chocolate Covered Raisins,3
18-29,Insulated Wine Tote,3
18-29,Homemade Salsa,1
18-29,Silicone Baking Mat Set,1
18-29,Sports Water Bottle with Infuser,4
18-29,Electric Heating Pad,1
18-29,Portable Hammock Swing,3
18-29,Toilet Paper (12 rolls),3
18-29,Travel Makeup Organizer,1
18-29,Apricot Jam,2
18-29,Wireless Charging Station,1
18-29,Raspberry Tart,2
18-29,Mediterranean Couscous Salad,2
30-49,High-Quality Yoga Block,1
30-49,Pecan Nuts,1
30-49,LED Disco Ball Light,2
30-49,Brussels Sprouts,1
30-49,Herbal Tea Set,1
30-49,Energy Protein Bars,2
50-65,Denim Jacket,1
