order_id,item_number,quantity_ordered
20032791,574414940629,1
20032791,574418072861,2
20032791,574436245688,2
20032791,574479307520,2
20032792,574421798775,1
20032792,574444397620,2
20032792,574460715123,3
20032792,574488776629,4
20032793,574413072327,2
20032793,574414940629,1
20032793,574418848329,1
20032793,574441977397,2
20032793,574486240019,4
20032794,574405947145,1
20032794,574411236759,2
20032794,574412010806,1
20032794,574437877616,3
20032794,574447791484,2
20032794,574463211808,2
20032794,574463832528,1
20032794,574491379250,2
20032795,574401713944,3
20032795,574406778568,2
20032795,574410540967,1
20032795,574434828631,3
20032795,574438453481,4
20032795,574440875862,1
20032795,574447736272,4
20032795,574447766696,3
20032795,574463926476,4
20032795,574491058128,2
20032795,574492698849,1
20032796,574402712185,1
20032796,574407557549,3
20032796,574422716529,1
20032796,574426410602,1
20032796,574455531242,2
20032796,574465679850,3
20032797,574412307019,1
20032797,574469180387,3
20032797,574481577431,1
20032798,574404486681,2
20032798,574409856524,1
20032798,574461829917,1
20032798,574462722455,1
20032798,574479307520,2
20032798,574493175249,1
20032799,574401147676,1
20032799,574407818572,1
20032799,574429133945,1
20032799,574442310089,1
20032799,574449563565,1
20032799,574453954332,1
20032799,574462596083,2
20032799,574482475820,3
20032800,574407491158,2
20032800,574418621774,2
20032800,574428086068,2
20032800,574429488233,1
20032800,574441377813,1
20032800,574447952203,3
20032800,574455531242,1
20032800,574467656334,2
20032800,574482475820,1
20032800,574487861166,2
20032800,574488005980,1
20032801,574407491158,1
20032801,574424372201,1
20032801,574443710884,2
20032801,574445585740,1
20032801,574447447436,3
20032801,574477444550,2
20032801,574479307520,3
20032801,574488966550,1
20032802,574420563766,3
20032802,574439320782,2
20032802,574479262198,3
20032803,574414940629,1
20032803,574418480066,1
20032803,574428512332,1
20032803,574441977397,1
20032803,574445670446,3
20032803,574451956079,1
20032803,574454962518,1
20032803,574458415882,2
20032803,574466871240,1
20032803,574479307520,1
20032803,574486687622,1
20032803,574496278286,1
20032804,574412321822,2
20032804,574453288646,2
20032804,574453973300,1
20032804,574478826008,1
20032804,574492632066,1
20032805,574402712185,3
20032805,574410016368,1
20032805,574412581907,1
20032805,574416065933,1
20032805,574417982593,1
20032805,574428512332,2
20032805,574428785109,2
20032805,574435203929,2
20032805,574443722596,1
20032805,574449413194,1
20032805,574453697906,2
20032805,574454962518,2
20032805,574465673455,1
20032805,574492290565,1
20032806,574451416037,4
20032806,574466662197,2
20032806,574466871240,2
20032806,574483841626,3
20032806,574485896560,2
20032807,574403982995,4
20032807,574411236759,1
20032807,574421798775,3
20032807,574422397958,1
20032807,574422969524,1
20032807,574432268235,1
20032807,574445764513,2
20032807,574451651808,1
20032807,574458771689,1
20032807,574460434923,4
20032807,574494963149,1
20032808,574401698889,2
20032808,574447736272,1
20032808,574456888414,1
20032808,574458771689,4
20032808,574469086975,3
20032808,574475479981,1
20032808,574489065209,1
20032809,574412010806,1
20032809,574418284210,2
20032809,574429212394,1
20032809,574475172017,2
20032809,574486541227,1
20032809,574495597477,2
20032810,574407491158,2
20032810,574431792763,1
20032810,574442765000,1
20032810,574462722455,4
20032810,574475479981,2
20032811,574442871613,1
20032811,574443710884,2
20032811,574469260378,3
20032811,574481475306,1
20032811,574491379250,2
20032812,574412581907,1
20032812,574422277538,1
20032812,574426573494,1
20032812,574480889866,1
20032812,574486491838,2
20032812,574488966550,3
20032813,574422183148,1
20032813,574422969524,3
20032813,574426034895,1
20032813,574431102926,1
20032813,574435203929,4
20032813,574449413194,2
20032813,574455531242,2
20032813,574463211808,1
20032813,574468433018,1
20032813,574477444550,1
20032813,574486541227,1
20032814,574402632161,1
20032814,574408012913,2
20032814,574414940629,3
20032814,574450690379,2
20032814,574465679850,1
20032814,574475590649,1
20032814,574479894192,1
20032814,574486851339,3
20032815,574404185391,3
20032815,574414940629,1
20032815,574438636758,1
20032815,574444342577,4
20032815,574444946807,1
20032815,574450619102,3
20032815,574452909883,3
20032815,574457102141,1
20032815,574462659403,2
20032815,574483180267,1
20032815,574487861166,2
20032815,574493175249,2
20032816,574404270735,1
20032816,574418647592,1
20032816,574447736272,2
20032816,574466772854,1
20032816,574475789355,1
20032816,574491296256,2
20032817,574401698889,1
20032817,574413759826,2
20032817,574435203929,1
20032817,574438439324,1
20032817,574475172017,2
20032817,574483804747,1
20032817,574492290565,1
20032817,574492698849,1
20032818,574435544770,1
20032818,574438439324,2
20032818,574447447436,1
20032818,574469567187,1
20032818,574486061106,1
20032818,574491765163,2
20032819,574404486681,2
20032819,574405088157,1
20032819,574405088157,3
20032819,574429162411,1
20032819,574442255972,1
20032819,574489256792,3
20032820,574404486681,2
20032820,574422969524,2
20032820,574429133945,1
20032820,574441556000,1
20032820,574446788380,1
20032820,574467607197,2
20032821,574413072327,3
20032821,574419782725,2
20032821,574422969524,1
20032821,574438439324,2
20032821,574439320782,2
20032821,574442255972,3
20032821,574444829298,2
20032821,574445854142,1
20032821,574447766696,1
20032821,574453353917,2
20032821,574458771689,1
20032821,574459160316,2
20032821,574460295437,4
20032821,574479307520,2
20032821,574486061106,1
20032821,574486170068,1
20032821,574495597477,3
20032822,574426015271,4
20032822,574429732656,3
20032822,574431679997,1
